,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.12099404335021972,0.00497143450654655,0.007621240615844726,0.000988651853364683,True,entropy,3,0.3,10,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 10, 'n_estimators': 100}",0.82996632996633,0.9023569023569024,0.9143356643356644,0.9632867132867132,0.9615384615384615,0.9142968142968144,0.04875649091355355,45
1,0.18898615837097169,0.020932371236111236,0.009778976440429688,5.272469339253192e-05,True,entropy,3,0.3,10,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 10, 'n_estimators': 150}",0.82996632996633,0.9006734006734006,0.9213286713286714,0.965034965034965,0.9527972027972028,0.9139601139601139,0.04775510029077444,50
2,0.26238718032836916,0.035971460241890275,0.012724018096923828,0.0016090195796149777,True,entropy,3,0.3,10,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 10, 'n_estimators': 200}",0.8249158249158248,0.904040404040404,0.9213286713286712,0.965034965034965,0.9527972027972028,0.9136234136234135,0.0493922559518439,57
3,0.3018988609313965,0.016437124853513188,0.014441490173339844,0.0016621288546564538,True,entropy,3,0.3,10,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 10, 'n_estimators': 250}",0.8265993265993266,0.9006734006734006,0.9213286713286712,0.9667832167832168,0.9545454545454546,0.913986013986014,0.049598762613971004,49
4,0.1280038833618164,0.010565985097134113,0.007747793197631836,0.0005605852370577972,True,entropy,3,0.3,20,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 100}",0.8148148148148148,0.888888888888889,0.9143356643356643,0.9597902097902098,0.9493006993006993,0.9054260554260554,0.05185306468853068,195
5,0.19648971557617187,0.03050603648796278,0.009624767303466796,0.000561384487226227,True,entropy,3,0.3,20,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 150}",0.8131313131313131,0.9006734006734006,0.9143356643356643,0.958041958041958,0.951048951048951,0.9074462574462574,0.0518647549795902,171
6,0.2474959373474121,0.017507100940626172,0.013537216186523437,0.0027760754053440416,True,entropy,3,0.3,20,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 200}",0.8097643097643097,0.9107744107744108,0.916083916083916,0.9615384615384615,0.9545454545454546,0.9105413105413106,0.054265740199302324,108
7,0.31348376274108886,0.02386001622770467,0.013520908355712891,0.0007256148936438206,True,entropy,3,0.3,20,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 250}",0.8131313131313131,0.9057239057239057,0.9143356643356644,0.9615384615384615,0.9545454545454546,0.9098549598549599,0.05303023820113873,129
8,0.12526330947875977,0.01603526858170278,0.0070950984954833984,0.00013407071902567718,True,entropy,3,0.3,25,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 100}",0.8232323232323232,0.8922558922558922,0.9020979020979021,0.9545454545454545,0.9493006993006993,0.9042864542864543,0.047479565511133595,206
9,0.19040517807006835,0.020622105301879187,0.011109685897827149,0.00255145655981295,True,entropy,3,0.3,25,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 150}",0.8164983164983165,0.8973063973063973,0.916083916083916,0.9580419580419579,0.9545454545454546,0.9084952084952084,0.0514231692288799,154
10,0.24010725021362306,0.015749248448401615,0.011385345458984375,0.0009824018338928395,True,entropy,3,0.3,25,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 200}",0.8148148148148148,0.9107744107744107,0.9195804195804196,0.9615384615384616,0.9545454545454546,0.9122507122507123,0.05247434733344957,76
11,0.3043234348297119,0.02482621551246547,0.01308903694152832,0.0002929368116558134,True,entropy,3,0.3,25,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 250}",0.8148148148148148,0.9107744107744107,0.9178321678321678,0.958041958041958,0.9562937062937062,0.9115514115514115,0.052079294598987615,94
12,0.12547650337219238,0.011035002977347021,0.00825052261352539,0.0011489253380717753,True,entropy,3,0.3,30,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 100}",0.8164983164983165,0.8855218855218855,0.9020979020979021,0.9527972027972027,0.9423076923076923,0.8998445998445999,0.04850549009182139,236
13,0.1887418270111084,0.015010182409109328,0.00971536636352539,0.000648187489104719,True,entropy,3,0.3,30,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 150}",0.8215488215488215,0.8905723905723906,0.9090909090909091,0.9615384615384616,0.9527972027972028,0.9071095571095571,0.05029494946464662,186
